file_id,file_path,speaker_id,label,dataset_source,language,duration,sample_rate,attack_type,split
vs_0035,processed/real/speaker_004_english_01_seg00.wav,speaker_004,REAL,custom,English,4.0,16000,none,train
vs_0036,processed/real/speaker_004_english_01_seg01.wav,speaker_004,REAL,custom,English,4.0,16000,none,train
vs_0037,processed/real/speaker_004_english_02_seg00.wav,speaker_004,REAL,custom,English,4.0,16000,none,train
vs_0038,processed/real/speaker_004_english_02_seg01.wav,speaker_004,REAL,custom,English,4.0,16000,none,train
vs_0039,processed/real/speaker_004_hindi_01_seg00.wav,speaker_004,REAL,custom,Hindi,4.0,16000,none,train
vs_0040,processed/real/speaker_004_hindi_01_seg01.wav,speaker_004,REAL,custom,Hindi,4.0,16000,none,train
vs_0019,processed/real/speaker_002_english_01_seg00.wav,speaker_002,REAL,custom,English,4.0,16000,none,train
vs_0020,processed/real/speaker_002_english_01_seg01.wav,speaker_002,REAL,custom,English,4.0,16000,none,train
vs_0021,processed/real/speaker_002_english_02_seg00.wav,speaker_002,REAL,custom,English,4.0,16000,none,train
vs_0022,processed/real/speaker_002_english_02_seg01.wav,speaker_002,REAL,custom,English,4.0,16000,none,train
vs_0023,processed/real/speaker_002_hindi_01_seg00.wav,speaker_002,REAL,custom,Hindi,4.0,16000,none,train
vs_0024,processed/real/speaker_002_hindi_01_seg01.wav,speaker_002,REAL,custom,Hindi,4.0,16000,none,train
vs_0025,processed/real/speaker_002_hindi_02_seg00.wav,speaker_002,REAL,custom,Hindi,4.0,16000,none,train
vs_0026,processed/real/speaker_002_hindi_02_seg01.wav,speaker_002,REAL,custom,Hindi,4.0,16000,none,train
vs_0027,processed/real/speaker_003_english_01_seg00.wav,speaker_003,REAL,custom,English,4.0,16000,none,train
vs_0028,processed/real/speaker_003_english_01_seg01.wav,speaker_003,REAL,custom,English,4.0,16000,none,train
vs_0029,processed/real/speaker_003_english_02_seg00.wav,speaker_003,REAL,custom,English,4.0,16000,none,train
vs_0030,processed/real/speaker_003_english_02_seg01.wav,speaker_003,REAL,custom,English,4.0,16000,none,train
vs_0031,processed/real/speaker_003_hindi_01_seg00.wav,speaker_003,REAL,custom,Hindi,4.0,16000,none,train
vs_0032,processed/real/speaker_003_hindi_01_seg01.wav,speaker_003,REAL,custom,Hindi,4.0,16000,none,train
vs_0033,processed/real/speaker_003_marathi_01_seg00.wav,speaker_003,REAL,custom,Marathi,4.0,16000,none,train
vs_0034,processed/real/speaker_003_marathi_01_seg01.wav,speaker_003,REAL,custom,Marathi,4.0,16000,none,train
vs_0054,processed/fake/wf_melgan_001.wav,unknown_speaker,FAKE,WaveFake,English,4.0,16000,vocoder_melgan,train
vs_0053,processed/fake/wf_hifigan_001.wav,unknown_speaker,FAKE,WaveFake,English,4.0,16000,vocoder_hifigan,train
vs_0005,processed/real/for_fake_001.wav,unknown_speaker,REAL,FakeOrReal,English,4.0,16000,none,train
vs_0050,processed/fake/asv_spoof_002.wav,unknown_speaker,FAKE,ASVspoof2021_DF,English,4.0,16000,neural_vocoder_spoof,train
vs_0006,processed/real/for_real_001.wav,unknown_speaker,REAL,FakeOrReal,English,4.0,16000,none,train
vs_0048,processed/fake/asv_bonafide_002.wav,unknown_speaker,FAKE,ASVspoof2021_DF,English,4.0,16000,neural_vocoder_spoof,train
vs_0001,processed/real/asv_bonafide_001.wav,unknown_speaker,REAL,ASVspoof2021_DF,English,4.0,16000,none,train
vs_0047,processed/fake/asv_bonafide_001.wav,unknown_speaker,FAKE,ASVspoof2021_DF,English,4.0,16000,neural_vocoder_spoof,train
vs_0051,processed/fake/for_fake_001.wav,unknown_speaker,FAKE,WaveFake,English,4.0,16000,voice_clone,train
vs_0049,processed/fake/asv_spoof_001.wav,unknown_speaker,FAKE,ASVspoof2021_DF,English,4.0,16000,neural_vocoder_spoof,train
vs_0002,processed/real/asv_bonafide_002.wav,unknown_speaker,REAL,ASVspoof2021_DF,English,4.0,16000,none,train
vs_0041,processed/real/speaker_005_english_01_seg00.wav,speaker_005,REAL,custom,English,4.0,16000,none,validation
vs_0042,processed/real/speaker_005_english_01_seg01.wav,speaker_005,REAL,custom,English,4.0,16000,none,validation
vs_0043,processed/real/speaker_005_marathi_01_seg00.wav,speaker_005,REAL,custom,Marathi,4.0,16000,none,validation
vs_0044,processed/real/speaker_005_marathi_01_seg01.wav,speaker_005,REAL,custom,Marathi,4.0,16000,none,validation
vs_0045,processed/real/speaker_005_marathi_02_seg00.wav,speaker_005,REAL,custom,Marathi,4.0,16000,none,validation
vs_0046,processed/real/speaker_005_marathi_02_seg01.wav,speaker_005,REAL,custom,Marathi,4.0,16000,none,validation
vs_0052,processed/fake/for_real_001.wav,unknown_speaker,FAKE,WaveFake,English,4.0,16000,voice_clone,validation
vs_0003,processed/real/asv_spoof_001.wav,unknown_speaker,REAL,ASVspoof2021_DF,English,4.0,16000,none,validation
vs_0007,processed/real/speaker_001_english_01_seg00.wav,speaker_001,REAL,custom,English,4.0,16000,none,test
vs_0008,processed/real/speaker_001_english_01_seg01.wav,speaker_001,REAL,custom,English,4.0,16000,none,test
vs_0009,processed/real/speaker_001_english_02_seg00.wav,speaker_001,REAL,custom,English,4.0,16000,none,test
vs_0010,processed/real/speaker_001_english_02_seg01.wav,speaker_001,REAL,custom,English,4.0,16000,none,test
vs_0011,processed/real/speaker_001_hindi_01_seg00.wav,speaker_001,REAL,custom,Hindi,4.0,16000,none,test
vs_0012,processed/real/speaker_001_hindi_01_seg01.wav,speaker_001,REAL,custom,Hindi,4.0,16000,none,test
vs_0013,processed/real/speaker_001_hindi_02_seg00.wav,speaker_001,REAL,custom,Hindi,4.0,16000,none,test
vs_0014,processed/real/speaker_001_hindi_02_seg01.wav,speaker_001,REAL,custom,Hindi,4.0,16000,none,test
vs_0015,processed/real/speaker_001_marathi_01_seg00.wav,speaker_001,REAL,custom,Marathi,4.0,16000,none,test
vs_0016,processed/real/speaker_001_marathi_01_seg01.wav,speaker_001,REAL,custom,Marathi,4.0,16000,none,test
vs_0017,processed/real/speaker_001_marathi_02_seg00.wav,speaker_001,REAL,custom,Marathi,4.0,16000,none,test
vs_0018,processed/real/speaker_001_marathi_02_seg01.wav,speaker_001,REAL,custom,Marathi,4.0,16000,none,test
